Program,Testcase,Memory
quick2.c,0,3326976.0
merge.c,0,3343360.0
quick2.c,100000,3867648.0
merge.c,100000,6047744.0
quick2.c,200000,4293632.0
merge.c,200000,8356864.0
quick2.c,300000,4588544.0
merge.c,300000,10224640.0
quick2.c,400000,5161984.0
merge.c,400000,10485760.0
quick2.c,500000,5604352.0
merge.c,500000,11324620.8
quick2.c,600000,5899264.0
merge.c,600000,13736345.6
quick2.c,700000,6276096.0
merge.c,700000,16148070.4
quick2.c,800000,6652928.0
merge.c,800000,12792627.2
quick2.c,900000,7111680.0
merge.c,900000,14050918.4
quick2.c,1000000,7472128.0
merge.c,1000000,13631488.0
quick2.c,1100000,7898112.0
merge.c,1100000,15623782.4
quick2.c,1200000,8373248.0
merge.c,1200000,15204352.0
quick2.c,1300000,8684544.0
merge.c,1300000,16986931.2
quick2.c,1400000,9077760.0
merge.c,1400000,19922944.0
quick2.c,1500000,9487360.0
merge.c,1500000,18035507.2
quick2.c,1600000,9815040.0
merge.c,1600000,18245222.4
quick2.c,1700000,10276044.8
merge.c,1700000,19084083.2
quick2.c,1800000,10695475.2
merge.c,1800000,19084083.2
quick2.c,1900000,11114905.6
merge.c,1900000,21076377.6
quick2.c,2000000,11534336.0
merge.c,2000000,22963814.4
quick2.c,2100000,11848908.8
merge.c,2100000,21810380.8
quick2.c,2200000,12373196.8
merge.c,2200000,22334668.8
quick2.c,2300000,12687769.6
merge.c,2300000,23173529.6
quick2.c,2400000,13107200.0
merge.c,2400000,23907532.8
quick2.c,2500000,13526630.4
merge.c,2500000,24851251.2
quick2.c,2600000,13841203.2
merge.c,2600000,25375539.2
quick2.c,2700000,14260633.6
merge.c,2700000,26109542.4
quick2.c,2800000,14680064.0
merge.c,2800000,27053260.8
quick2.c,2900000,15099494.4
merge.c,2900000,27787264.0
quick2.c,3000000,15518924.8
merge.c,3000000,28730982.4
quick2.c,3100000,15833497.6
merge.c,3100000,31037849.6
quick2.c,3200000,16357785.6
merge.c,3200000,30198988.8
