Program,Testcase,Memory
bubble.c,200,3265000
selection.c,200,3265000
insertion.c,200,3249000
bubble.c,700,3313000
selection.c,700,3313000
insertion.c,700,3313000
bubble.c,1200,3345000
selection.c,1200,3329000
insertion.c,1200,3249000
bubble.c,1700,3425000
selection.c,1700,3313000
insertion.c,1700,3329000
bubble.c,2200,3345000
selection.c,2200,3217000
insertion.c,2200,3297000
bubble.c,2700,3265000
selection.c,2700,3297000
insertion.c,2700,3249000
bubble.c,3200,3249000
selection.c,3200,3313000
insertion.c,3200,3281000
bubble.c,3700,3345000
selection.c,3700,3361000
insertion.c,3700,3265000
bubble.c,4200,3297000
selection.c,4200,3313000
insertion.c,4200,3297000
bubble.c,4700,3265000
selection.c,4700,3393000
insertion.c,4700,3377000
bubble.c,5200,3329000
selection.c,5200,3345000
insertion.c,5200,3313000
bubble.c,5700,3297000
selection.c,5700,3345000
insertion.c,5700,3265000
bubble.c,6200,3377000
selection.c,6200,3281000
insertion.c,6200,3313000
bubble.c,6700,3393000
selection.c,6700,3361000
insertion.c,6700,3265000
bubble.c,7200,3313000
selection.c,7200,3313000
insertion.c,7200,3297000
bubble.c,7700,3297000
selection.c,7700,3393000
insertion.c,7700,3329000
bubble.c,8200,3457000
selection.c,8200,3393000
insertion.c,8200,3377000
bubble.c,8700,3457000
selection.c,8700,3441000
insertion.c,8700,3441000
bubble.c,9200,3473000
selection.c,9200,3441000
insertion.c,9200,3505000
bubble.c,9700,3489000
selection.c,9700,3377000
insertion.c,9700,3457000
bubble.c,10200,3505000
selection.c,10200,3489000
insertion.c,10200,3457000
bubble.c,10700,3489000
selection.c,10700,3489000
insertion.c,10700,3553000
bubble.c,11200,3441000
selection.c,11200,3569000
insertion.c,11200,3521000
bubble.c,11700,3441000
selection.c,11700,3505000
insertion.c,11700,3473000
bubble.c,12200,3409000
selection.c,12200,3521000
insertion.c,12200,3537000
bubble.c,12700,3521000
selection.c,12700,3553000
insertion.c,12700,3441000
bubble.c,13200,3457000
selection.c,13200,3489000
insertion.c,13200,3489000
bubble.c,13700,3457000
selection.c,13700,3473000
insertion.c,13700,3425000
bubble.c,14200,3441000
selection.c,14200,3473000
insertion.c,14200,3505000
bubble.c,14700,3409000
selection.c,14700,3409000
insertion.c,14700,3457000
bubble.c,15200,3473000
selection.c,15200,3505000
insertion.c,15200,3505000
bubble.c,15700,3537000
selection.c,15700,3457000
insertion.c,15700,3441000
bubble.c,16200,3537000
selection.c,16200,3425000
insertion.c,16200,3489000
bubble.c,16700,3521000
selection.c,16700,3505000
insertion.c,16700,3505000
bubble.c,17200,3521000
selection.c,17200,3537000
insertion.c,17200,3553000
bubble.c,17700,3537000
selection.c,17700,3505000
insertion.c,17700,3393000
bubble.c,18200,3537000
selection.c,18200,3585000
insertion.c,18200,3489000
bubble.c,18700,3489000
selection.c,18700,3409000
insertion.c,18700,3441000
bubble.c,19200,3489000
selection.c,19200,3489000
insertion.c,19200,3425000
bubble.c,19700,3505000
selection.c,19700,3425000
insertion.c,19700,3633000
bubble.c,20200,3489000
selection.c,20200,3505000
insertion.c,20200,3537000
bubble.c,20700,3441000
selection.c,20700,3473000
insertion.c,20700,3505000
bubble.c,21200,3505000
selection.c,21200,3521000
insertion.c,21200,3505000
bubble.c,21700,3537000
selection.c,21700,3521000
insertion.c,21700,3537000
bubble.c,22200,3489000
selection.c,22200,3425000
insertion.c,22200,3489000
bubble.c,22700,3521000
selection.c,22700,3505000
insertion.c,22700,3505000
bubble.c,23200,3457000
selection.c,23200,3585000
insertion.c,23200,3457000
bubble.c,23700,3489000
selection.c,23700,3425000
insertion.c,23700,3553000
bubble.c,24200,3441000
selection.c,24200,3521000
insertion.c,24200,3617000
bubble.c,24700,3569000
selection.c,24700,3585000
insertion.c,24700,3585000
bubble.c,25200,3537000
