Program,Testcase,Iteration,Run,Time,Type
bubble.c,99500,0,0,0.005503416061401367,Random
insertion.c,99500,0,0,0.005003690719604492,Random
selection.c,99500,0,0,0.006017208099365234,Random
bubble.c,99500,0,1,0.005599021911621094,Random
insertion.c,99500,0,1,0.004996776580810547,Random
selection.c,99500,0,1,0.006558418273925781,Random
bubble.c,99500,0,2,0.004999876022338867,Random
insertion.c,99500,0,2,0.006036043167114258,Random
selection.c,99500,0,2,0.004999399185180664,Random
bubble.c,99500,0,3,0.006509542465209961,Random
insertion.c,99500,0,3,0.0049991607666015625,Random
selection.c,99500,0,3,0.00507664680480957,Random
bubble.c,99500,0,4,0.005529642105102539,Random
insertion.c,99500,0,4,0.005510568618774414,Random
selection.c,99500,0,4,0.004998445510864258,Random
bubble.c,99500,1,0,0.00599980354309082,Random
insertion.c,99500,1,0,0.005506753921508789,Random
selection.c,99500,1,0,0.0060007572174072266,Random
bubble.c,99500,1,1,0.00560760498046875,Random
insertion.c,99500,1,1,0.00499272346496582,Random
selection.c,99500,1,1,0.005599021911621094,Random
bubble.c,99500,1,2,0.006507158279418945,Random
insertion.c,99500,1,2,0.005000114440917969,Random
selection.c,99500,1,2,0.005213260650634766,Random
bubble.c,99500,1,3,0.0059967041015625,Random
insertion.c,99500,1,3,0.006017446517944336,Random
selection.c,99500,1,3,0.006136178970336914,Random
bubble.c,99500,1,4,0.007506847381591797,Random
insertion.c,99500,1,4,0.00507664680480957,Random
selection.c,99500,1,4,0.004999876022338867,Random
bubble.c,99500,0,0,0.006507158279418945,Sorted
insertion.c,99500,0,0,0.0065038204193115234,Sorted
selection.c,99500,0,0,0.006003856658935547,Sorted
bubble.c,99500,0,1,0.005507707595825195,Sorted
insertion.c,99500,0,1,0.00599980354309082,Sorted
selection.c,99500,0,1,0.0055065155029296875,Sorted
bubble.c,99500,0,2,0.004999876022338867,Sorted
insertion.c,99500,0,2,0.0055084228515625,Sorted
selection.c,99500,0,2,0.004999637603759766,Sorted
bubble.c,99500,0,3,0.004506349563598633,Sorted
insertion.c,99500,0,3,0.006000041961669922,Sorted
selection.c,99500,0,3,0.005507469177246094,Sorted
bubble.c,99500,0,4,0.003999948501586914,Sorted
insertion.c,99500,0,4,0.006506681442260742,Sorted
selection.c,99500,0,4,0.004999637603759766,Sorted
bubble.c,99500,0,0,0.005510568618774414,Reverse
insertion.c,99500,0,0,0.0045032501220703125,Reverse
selection.c,99500,0,0,0.006003618240356445,Reverse
bubble.c,99500,0,1,0.005369424819946289,Reverse
insertion.c,99500,0,1,0.005000114440917969,Reverse
selection.c,99500,0,1,0.006508588790893555,Reverse
bubble.c,99500,0,2,0.005999326705932617,Reverse
insertion.c,99500,0,2,0.0045087337493896484,Reverse
selection.c,99500,0,2,0.004998683929443359,Reverse
bubble.c,99500,0,3,0.0055065155029296875,Reverse
insertion.c,99500,0,3,0.005005359649658203,Reverse
selection.c,99500,0,3,0.005456447601318359,Reverse
bubble.c,99500,0,4,0.0055027008056640625,Reverse
insertion.c,99500,0,4,0.005003690719604492,Reverse
selection.c,99500,0,4,0.004999399185180664,Reverse
