Program,Testcase,Type,Iteration,Round,Time
merge.c,200,BestQuick,0.0,2.0,2.44698524475094
merge.c,200,Random,0.5,2.0,2.95169353485102
merge.c,200,Reverse,0.0,2.0,2.48165130615228
merge.c,200,Sorted,0.0,2.0,2.73394584655754
merge.c,400,BestQuick,0.0,2.0,2.79974937438958
merge.c,400,Random,0.5,2.0,3.29086780548091
merge.c,400,Reverse,0.0,2.0,2.6345252990722203
merge.c,400,Sorted,0.0,2.0,2.71744728088374
merge.c,600,BestQuick,0.0,2.0,2.65774726867668
merge.c,600,Random,0.5,2.0,2.71677970886225
merge.c,600,Reverse,0.0,2.0,2.67586708068844
merge.c,600,Sorted,0.0,2.0,2.61907577514642
merge.c,800,BestQuick,0.0,2.0,3.002119064331
merge.c,800,Random,0.5,2.0,3.0831813812255198
merge.c,800,Reverse,0.0,2.0,3.2319068908691
merge.c,800,Sorted,0.0,2.0,2.78635025024408
merge.c,1000,BestQuick,0.0,2.0,2.72598266601556
merge.c,1000,Random,0.5,2.0,2.52308845520015
merge.c,1000,Reverse,0.0,2.0,2.81724929809566
merge.c,1000,Sorted,0.0,2.0,2.5546550750732
merge.c,1200,BestQuick,0.0,2.0,2.98037528991694
merge.c,1200,Random,0.5,2.0,3.00734043121331
merge.c,1200,Reverse,0.0,2.0,3.9666652679442995
merge.c,1200,Sorted,0.0,2.0,3.78065109252924
merge.c,1400,BestQuick,0.0,2.0,2.825117111206
merge.c,1400,Random,0.5,2.0,3.2979011535644
merge.c,1400,Reverse,0.0,2.0,2.59799957275386
merge.c,1400,Sorted,0.0,2.0,2.9316425323486
merge.c,1600,BestQuick,0.0,2.0,3.27334403991694
merge.c,1600,Random,0.5,2.0,3.09126377105708
merge.c,1600,Reverse,0.0,2.0,3.2297611236571795
merge.c,1600,Sorted,0.0,2.0,3.8803577423095397
merge.c,1800,BestQuick,0.0,2.0,2.8967380523681
merge.c,1800,Random,0.5,2.0,3.09002399444576
merge.c,1800,Reverse,0.0,2.0,13.426494598388619
merge.c,1800,Sorted,0.0,2.0,8.393907546997019
