Program,Testcase,Iteration,Round,Time,Type
quick2.c,1,0,0,0.05092215538024902,Random
merge.c,1,0,0,0.04437518119812012,Random
quick2.c,1,0,1,0.003407001495361328,Random
merge.c,1,0,1,0.003429889678955078,Random
quick2.c,1,0,2,0.003926753997802734,Random
merge.c,1,0,2,0.00397801399230957,Random
quick2.c,1,0,3,0.0035648345947265625,Random
merge.c,1,0,3,0.002733945846557617,Random
quick2.c,1,0,4,0.0025300979614257812,Random
merge.c,1,0,4,0.00292205810546875,Random
quick2.c,1,1,0,0.002637147903442383,Random
merge.c,1,1,0,0.0026171207427978516,Random
quick2.c,1,1,1,0.0024471282958984375,Random
merge.c,1,1,1,0.002877950668334961,Random
quick2.c,1,1,2,0.002427816390991211,Random
merge.c,1,1,2,0.0023310184478759766,Random
quick2.c,1,1,3,0.0023889541625976562,Random
merge.c,1,1,3,0.0032892227172851562,Random
quick2.c,1,1,4,0.002905130386352539,Random
merge.c,1,1,4,0.0023996829986572266,Random
quick2.c,1,0,0,0.0023348331451416016,Sorted
merge.c,1,0,0,0.002330780029296875,Sorted
quick2.c,1,0,1,0.002450227737426758,Sorted
merge.c,1,0,1,0.0022630691528320312,Sorted
quick2.c,1,0,2,0.002933025360107422,Sorted
merge.c,1,0,2,0.0034270286560058594,Sorted
quick2.c,1,0,3,0.002699136734008789,Sorted
merge.c,1,0,3,0.002299070358276367,Sorted
quick2.c,1,0,4,0.002226114273071289,Sorted
merge.c,1,0,4,0.0021867752075195312,Sorted
quick2.c,1,0,0,0.0030677318572998047,Reverse
merge.c,1,0,0,0.0033881664276123047,Reverse
quick2.c,1,0,1,0.003225088119506836,Reverse
merge.c,1,0,1,0.002554178237915039,Reverse
quick2.c,1,0,2,0.0022559165954589844,Reverse
merge.c,1,0,2,0.0022940635681152344,Reverse
quick2.c,1,0,3,0.0036461353302001953,Reverse
merge.c,1,0,3,0.0030219554901123047,Reverse
quick2.c,1,0,4,0.0024788379669189453,Reverse
merge.c,1,0,4,0.002408266067504883,Reverse
quick2.c,1,0,0,0.002286195755004883,BestQuick
merge.c,1,0,0,0.002249002456665039,BestQuick
quick2.c,1,0,1,0.003086090087890625,BestQuick
merge.c,1,0,1,0.002950906753540039,BestQuick
quick2.c,1,0,2,0.0029540061950683594,BestQuick
merge.c,1,0,2,0.003671884536743164,BestQuick
quick2.c,1,0,3,0.0031790733337402344,BestQuick
merge.c,1,0,3,0.0036351680755615234,BestQuick
quick2.c,1,0,4,0.003323078155517578,BestQuick
merge.c,1,0,4,0.003040790557861328,BestQuick
quick2.c,0,0,0,0.002446889877319336,Random
merge.c,0,0,0,0.0022840499877929688,Random
quick2.c,0,0,1,0.002193927764892578,Random
merge.c,0,0,1,0.003214120864868164,Random
quick2.c,0,0,2,0.002760171890258789,Random
merge.c,0,0,2,0.0028519630432128906,Random
quick2.c,0,0,3,0.0022530555725097656,Random
merge.c,0,0,3,0.002140045166015625,Random
quick2.c,0,0,4,0.0021240711212158203,Random
merge.c,0,0,4,0.002087116241455078,Random
quick2.c,0,1,0,0.0028870105743408203,Random
merge.c,0,1,0,0.002844095230102539,Random
quick2.c,0,1,1,0.002357006072998047,Random
merge.c,0,1,1,0.0022630691528320312,Random
quick2.c,0,1,2,0.002248048782348633,Random
merge.c,0,1,2,0.002174854278564453,Random
quick2.c,0,1,3,0.002583026885986328,Random
merge.c,0,1,3,0.003535032272338867,Random
quick2.c,0,1,4,0.002644062042236328,Random
merge.c,0,1,4,0.0021648406982421875,Random
quick2.c,0,0,0,0.0021390914916992188,Sorted
merge.c,0,0,0,0.0022089481353759766,Sorted
quick2.c,0,0,1,0.0024497509002685547,Sorted
merge.c,0,0,1,0.0030629634857177734,Sorted
quick2.c,0,0,2,0.0027680397033691406,Sorted
merge.c,0,0,2,0.003194093704223633,Sorted
quick2.c,0,0,3,0.002646923065185547,Sorted
merge.c,0,0,3,0.0021691322326660156,Sorted
quick2.c,0,0,4,0.0024538040161132812,Sorted
merge.c,0,0,4,0.003074169158935547,Sorted
quick2.c,0,0,0,0.003142833709716797,Reverse
merge.c,0,0,0,0.0023360252380371094,Reverse
quick2.c,0,0,1,0.0021829605102539062,Reverse
merge.c,0,0,1,0.002129793167114258,Reverse
quick2.c,0,0,2,0.0024628639221191406,Reverse
merge.c,0,0,2,0.005255222320556641,Reverse
quick2.c,0,0,3,0.003910064697265625,Reverse
merge.c,0,0,3,0.0029709339141845703,Reverse
quick2.c,0,0,4,0.0029571056365966797,Reverse
merge.c,0,0,4,0.0026471614837646484,Reverse
quick2.c,0,0,0,0.00511479377746582,BestQuick
merge.c,0,0,0,0.0029129981994628906,BestQuick
quick2.c,0,0,1,0.0024421215057373047,BestQuick
merge.c,0,0,1,0.002501249313354492,BestQuick
quick2.c,0,0,2,0.0023369789123535156,BestQuick
merge.c,0,0,2,0.004099130630493164,BestQuick
quick2.c,0,0,3,0.003084897994995117,BestQuick
merge.c,0,0,3,0.002371072769165039,BestQuick
quick2.c,0,0,4,0.0022771358489990234,BestQuick
merge.c,0,0,4,0.0021038055419921875,BestQuick
quick2.c,200,0,0,0.002299070358276367,Random
merge.c,200,0,0,0.002928018569946289,Random
quick2.c,200,0,1,0.003917217254638672,Random
merge.c,200,0,1,0.003039121627807617,Random
quick2.c,200,0,2,0.002377033233642578,Random
merge.c,200,0,2,0.002299785614013672,Random
quick2.c,200,0,3,0.002323150634765625,Random
merge.c,200,0,3,0.003098011016845703,Random
quick2.c,200,0,4,0.0034241676330566406,Random
merge.c,200,0,4,0.0028820037841796875,Random
quick2.c,200,1,0,0.0024569034576416016,Random
merge.c,200,1,0,0.002315044403076172,Random
quick2.c,200,1,1,0.002315044403076172,Random
merge.c,200,1,1,0.0032999515533447266,Random
quick2.c,200,1,2,0.003564119338989258,Random
merge.c,200,1,2,0.0032777786254882812,Random
quick2.c,200,1,3,0.002950906753540039,Random
merge.c,200,1,3,0.0023179054260253906,Random
quick2.c,200,1,4,0.002518892288208008,Random
merge.c,200,1,4,0.004059314727783203,Random
quick2.c,200,0,0,0.0029058456420898438,Sorted
merge.c,200,0,0,0.002483844757080078,Sorted
quick2.c,200,0,1,0.0024459362030029297,Sorted
merge.c,200,0,1,0.002271890640258789,Sorted
quick2.c,200,0,2,0.0022361278533935547,Sorted
merge.c,200,0,2,0.003002166748046875,Sorted
quick2.c,200,0,3,0.0030570030212402344,Sorted
merge.c,200,0,3,0.0034787654876708984,Sorted
quick2.c,200,0,4,0.0031158924102783203,Sorted
merge.c,200,0,4,0.0024330615997314453,Sorted
quick2.c,200,0,0,0.00391697883605957,Reverse
merge.c,200,0,0,0.00286102294921875,Reverse
quick2.c,200,0,1,0.002457141876220703,Reverse
merge.c,200,0,1,0.002454042434692383,Reverse
quick2.c,200,0,2,0.0024111270904541016,Reverse
merge.c,200,0,2,0.002254962921142578,Reverse
quick2.c,200,0,3,0.0022728443145751953,Reverse
merge.c,200,0,3,0.0024530887603759766,Reverse
quick2.c,200,0,4,0.002622365951538086,Reverse
merge.c,200,0,4,0.0023851394653320312,Reverse
quick2.c,200,0,0,0.0022199153900146484,BestQuick
merge.c,200,0,0,0.002244234085083008,BestQuick
quick2.c,200,0,1,0.0022270679473876953,BestQuick
merge.c,200,0,1,0.0022268295288085938,BestQuick
quick2.c,200,0,2,0.0025322437286376953,BestQuick
merge.c,200,0,2,0.002892017364501953,BestQuick
quick2.c,200,0,3,0.002457857131958008,BestQuick
merge.c,200,0,3,0.0021848678588867188,BestQuick
quick2.c,200,0,4,0.0022411346435546875,BestQuick
merge.c,200,0,4,0.0026869773864746094,BestQuick
quick2.c,400,0,0,0.007318019866943359,Random
merge.c,400,0,0,0.007188081741333008,Random
quick2.c,400,0,1,0.005759000778198242,Random
merge.c,400,0,1,0.003360748291015625,Random
quick2.c,400,0,2,0.0026149749755859375,Random
merge.c,400,0,2,0.0024797916412353516,Random
quick2.c,400,0,3,0.0024361610412597656,Random
merge.c,400,0,3,0.003059864044189453,Random
quick2.c,400,0,4,0.003386974334716797,Random
merge.c,400,0,4,0.003142118453979492,Random
quick2.c,400,1,0,0.0024471282958984375,Random
merge.c,400,1,0,0.0024039745330810547,Random
quick2.c,400,1,1,0.002357006072998047,Random
merge.c,400,1,1,0.0031921863555908203,Random
quick2.c,400,1,2,0.0029401779174804688,Random
merge.c,400,1,2,0.0029740333557128906,Random
quick2.c,400,1,3,0.002424955368041992,Random
merge.c,400,1,3,0.0027647018432617188,Random
quick2.c,400,1,4,0.0025129318237304688,Random
merge.c,400,1,4,0.0023431777954101562,Random
quick2.c,400,0,0,0.0030107498168945312,Sorted
merge.c,400,0,0,0.003300189971923828,Sorted
quick2.c,400,0,1,0.002813100814819336,Sorted
merge.c,400,0,1,0.0026171207427978516,Sorted
quick2.c,400,0,2,0.0024421215057373047,Sorted
merge.c,400,0,2,0.002269268035888672,Sorted
quick2.c,400,0,3,0.003632783889770508,Sorted
merge.c,400,0,3,0.0031366348266601562,Sorted
quick2.c,400,0,4,0.00267791748046875,Sorted
merge.c,400,0,4,0.0022640228271484375,Sorted
quick2.c,400,0,0,0.0023338794708251953,Reverse
merge.c,400,0,0,0.002252817153930664,Reverse
quick2.c,400,0,1,0.002918243408203125,Reverse
merge.c,400,0,1,0.0031058788299560547,Reverse
quick2.c,400,0,2,0.002936124801635742,Reverse
merge.c,400,0,2,0.0024650096893310547,Reverse
quick2.c,400,0,3,0.002357006072998047,Reverse
merge.c,400,0,3,0.0022499561309814453,Reverse
quick2.c,400,0,4,0.002786874771118164,Reverse
merge.c,400,0,4,0.0030989646911621094,Reverse
quick2.c,400,0,0,0.003016233444213867,BestQuick
merge.c,400,0,0,0.0023488998413085938,BestQuick
quick2.c,400,0,1,0.002319812774658203,BestQuick
merge.c,400,0,1,0.002286195755004883,BestQuick
quick2.c,400,0,2,0.002552032470703125,BestQuick
merge.c,400,0,2,0.0031659603118896484,BestQuick
quick2.c,400,0,3,0.002978801727294922,BestQuick
merge.c,400,0,3,0.0026428699493408203,BestQuick
quick2.c,400,0,4,0.0032389163970947266,BestQuick
merge.c,400,0,4,0.003554821014404297,BestQuick
quick2.c,600,0,0,0.003267049789428711,Random
merge.c,600,0,0,0.0032851696014404297,Random
quick2.c,600,0,1,0.002496004104614258,Random
merge.c,600,0,1,0.0024251937866210938,Random
quick2.c,600,0,2,0.0023469924926757812,Random
merge.c,600,0,2,0.0024292469024658203,Random
quick2.c,600,0,3,0.0032927989959716797,Random
merge.c,600,0,3,0.002964019775390625,Random
quick2.c,600,0,4,0.0027780532836914062,Random
merge.c,600,0,4,0.0026891231536865234,Random
quick2.c,600,1,0,0.0023818016052246094,Random
merge.c,600,1,0,0.002313852310180664,Random
quick2.c,600,1,1,0.0033447742462158203,Random
merge.c,600,1,1,0.003170013427734375,Random
quick2.c,600,1,2,0.002635955810546875,Random
merge.c,600,1,2,0.002377033233642578,Random
quick2.c,600,1,3,0.0023050308227539062,Random
merge.c,600,1,3,0.0023140907287597656,Random
quick2.c,600,1,4,0.0033769607543945312,Random
merge.c,600,1,4,0.003200054168701172,Random
