Program,Testcase,Iteration,Round,Time,Type
quick2.c,1,0,0,0.14050817489624023,Random
merge.c,1,0,0,0.2901890277862549,Random
quick2.c,1,0,1,0.006334066390991211,Random
merge.c,1,0,1,0.005101919174194336,Random
quick2.c,1,0,2,0.0057201385498046875,Random
merge.c,1,0,2,0.00476527214050293,Random
quick2.c,1,0,3,0.0041370391845703125,Random
merge.c,1,0,3,0.0049860477447509766,Random
quick2.c,1,0,4,0.004589080810546875,Random
merge.c,1,0,4,0.004521846771240234,Random
quick2.c,1,1,0,0.004255056381225586,Random
merge.c,1,1,0,0.004843235015869141,Random
quick2.c,1,1,1,0.0043718814849853516,Random
merge.c,1,1,1,0.003944873809814453,Random
quick2.c,1,1,2,0.005830049514770508,Random
merge.c,1,1,2,0.005287885665893555,Random
quick2.c,1,1,3,0.005077838897705078,Random
merge.c,1,1,3,0.005101919174194336,Random
quick2.c,1,1,4,0.006103992462158203,Random
merge.c,1,1,4,0.004827022552490234,Random
quick2.c,1,0,0,0.0052700042724609375,Sorted
merge.c,1,0,0,0.0063970088958740234,Sorted
quick2.c,1,0,1,0.0072557926177978516,Sorted
merge.c,1,0,1,0.007824897766113281,Sorted
quick2.c,1,0,2,0.005646228790283203,Sorted
merge.c,1,0,2,0.005532741546630859,Sorted
quick2.c,1,0,3,0.005828857421875,Sorted
merge.c,1,0,3,0.0055501461029052734,Sorted
quick2.c,1,0,4,0.005120992660522461,Sorted
merge.c,1,0,4,0.006021976470947266,Sorted
quick2.c,1,0,0,0.005239009857177734,Reverse
merge.c,1,0,0,0.005070209503173828,Reverse
quick2.c,1,0,0,0.14050817489624023,Random
merge.c,1,0,0,0.2901890277862549,Random
quick2.c,1,0,1,0.006334066390991211,Random
merge.c,1,0,1,0.005101919174194336,Random
quick2.c,1,0,2,0.0057201385498046875,Random
merge.c,1,0,2,0.00476527214050293,Random
quick2.c,1,0,3,0.0041370391845703125,Random
merge.c,1,0,3,0.0049860477447509766,Random
quick2.c,1,0,4,0.004589080810546875,Random
merge.c,1,0,4,0.004521846771240234,Random
quick2.c,1,1,0,0.004255056381225586,Random
merge.c,1,1,0,0.004843235015869141,Random
quick2.c,1,1,1,0.0043718814849853516,Random
merge.c,1,1,1,0.003944873809814453,Random
quick2.c,1,1,2,0.005830049514770508,Random
merge.c,1,1,2,0.005287885665893555,Random
quick2.c,1,1,3,0.005077838897705078,Random
merge.c,1,1,3,0.005101919174194336,Random
quick2.c,1,1,4,0.006103992462158203,Random
merge.c,1,1,4,0.004827022552490234,Random
quick2.c,1,0,0,0.0052700042724609375,Sorted
merge.c,1,0,0,0.0063970088958740234,Sorted
quick2.c,1,0,1,0.0072557926177978516,Sorted
merge.c,1,0,1,0.007824897766113281,Sorted
quick2.c,1,0,2,0.005646228790283203,Sorted
merge.c,1,0,2,0.005532741546630859,Sorted
quick2.c,1,0,3,0.005828857421875,Sorted
merge.c,1,0,3,0.0055501461029052734,Sorted
quick2.c,1,0,4,0.005120992660522461,Sorted
merge.c,1,0,4,0.006021976470947266,Sorted
quick2.c,1,0,0,0.005239009857177734,Reverse
merge.c,1,0,0,0.005070209503173828,Reverse
quick2.c,1,0,1,0.006518125534057617,Reverse
merge.c,1,0,1,0.005796909332275391,Reverse
quick2.c,1,0,0,0.14050817489624023,Random
merge.c,1,0,0,0.2901890277862549,Random
quick2.c,1,0,1,0.006334066390991211,Random
merge.c,1,0,1,0.005101919174194336,Random
quick2.c,1,0,2,0.0057201385498046875,Random
merge.c,1,0,2,0.00476527214050293,Random
quick2.c,1,0,3,0.0041370391845703125,Random
merge.c,1,0,3,0.0049860477447509766,Random
quick2.c,1,0,4,0.004589080810546875,Random
merge.c,1,0,4,0.004521846771240234,Random
quick2.c,1,1,0,0.004255056381225586,Random
merge.c,1,1,0,0.004843235015869141,Random
quick2.c,1,1,1,0.0043718814849853516,Random
merge.c,1,1,1,0.003944873809814453,Random
quick2.c,1,1,2,0.005830049514770508,Random
merge.c,1,1,2,0.005287885665893555,Random
quick2.c,1,1,3,0.005077838897705078,Random
merge.c,1,1,3,0.005101919174194336,Random
quick2.c,1,1,4,0.006103992462158203,Random
merge.c,1,1,4,0.004827022552490234,Random
quick2.c,1,0,0,0.0052700042724609375,Sorted
merge.c,1,0,0,0.0063970088958740234,Sorted
quick2.c,1,0,1,0.0072557926177978516,Sorted
merge.c,1,0,1,0.007824897766113281,Sorted
quick2.c,1,0,2,0.005646228790283203,Sorted
merge.c,1,0,2,0.005532741546630859,Sorted
quick2.c,1,0,3,0.005828857421875,Sorted
merge.c,1,0,3,0.0055501461029052734,Sorted
quick2.c,1,0,4,0.005120992660522461,Sorted
merge.c,1,0,4,0.006021976470947266,Sorted
quick2.c,1,0,0,0.005239009857177734,Reverse
merge.c,1,0,0,0.005070209503173828,Reverse
quick2.c,1,0,1,0.006518125534057617,Reverse
merge.c,1,0,1,0.005796909332275391,Reverse
quick2.c,1,0,2,0.006036043167114258,Reverse
merge.c,1,0,2,0.0055391788482666016,Reverse
quick2.c,1,0,0,0.14050817489624023,Random
merge.c,1,0,0,0.2901890277862549,Random
quick2.c,1,0,1,0.006334066390991211,Random
merge.c,1,0,1,0.005101919174194336,Random
quick2.c,1,0,2,0.0057201385498046875,Random
merge.c,1,0,2,0.00476527214050293,Random
quick2.c,1,0,3,0.0041370391845703125,Random
merge.c,1,0,3,0.0049860477447509766,Random
quick2.c,1,0,4,0.004589080810546875,Random
merge.c,1,0,4,0.004521846771240234,Random
quick2.c,1,1,0,0.004255056381225586,Random
merge.c,1,1,0,0.004843235015869141,Random
quick2.c,1,1,1,0.0043718814849853516,Random
merge.c,1,1,1,0.003944873809814453,Random
quick2.c,1,1,2,0.005830049514770508,Random
merge.c,1,1,2,0.005287885665893555,Random
quick2.c,1,1,3,0.005077838897705078,Random
merge.c,1,1,3,0.005101919174194336,Random
quick2.c,1,1,4,0.006103992462158203,Random
merge.c,1,1,4,0.004827022552490234,Random
quick2.c,1,0,0,0.0052700042724609375,Sorted
