Program,Testcase,Iteration,Round,Time,Type
bubble.c,1,0,0,0.006209135055541992,Random
insertion.c,1,0,0,0.005000591278076172,Random
selection.c,1,0,0,0.004508256912231445,Random
bubble.c,1,0,1,0.005999565124511719,Random
insertion.c,1,0,1,0.005095481872558594,Random
selection.c,1,0,1,0.0049991607666015625,Random
bubble.c,1,0,2,0.005446910858154297,Random
insertion.c,1,0,2,0.004998445510864258,Random
selection.c,1,0,2,0.005509376525878906,Random
bubble.c,1,0,3,0.004999876022338867,Random
insertion.c,1,0,3,0.0045087337493896484,Random
selection.c,1,0,3,0.0049991607666015625,Random
bubble.c,1,0,4,0.0050048828125,Random
insertion.c,1,0,4,0.004999637603759766,Random
selection.c,1,0,4,0.005658149719238281,Random
bubble.c,1,1,0,0.006509304046630859,Random
insertion.c,1,1,0,0.005001544952392578,Random
selection.c,1,1,0,0.005053281784057617,Random
bubble.c,1,1,1,0.005000114440917969,Random
insertion.c,1,1,1,0.005041360855102539,Random
selection.c,1,1,1,0.005998373031616211,Random
bubble.c,1,1,2,0.0055124759674072266,Random
insertion.c,1,1,2,0.003999233245849609,Random
selection.c,1,1,2,0.0065097808837890625,Random
bubble.c,1,1,3,0.005000591278076172,Random
insertion.c,1,1,3,0.005512237548828125,Random
selection.c,1,1,3,0.007033109664916992,Random
bubble.c,1,1,4,0.0050008296966552734,Random
insertion.c,1,1,4,0.005515575408935547,Random
selection.c,1,1,4,0.0049991607666015625,Random
bubble.c,1,0,0,0.005514621734619141,Sorted
insertion.c,1,0,0,0.005000114440917969,Sorted
selection.c,1,0,0,0.006016731262207031,Sorted
bubble.c,1,0,1,0.005000591278076172,Sorted
insertion.c,1,0,1,0.0050678253173828125,Sorted
selection.c,1,0,1,0.00621342658996582,Sorted
bubble.c,1,0,2,0.006001949310302734,Sorted
insertion.c,1,0,2,0.00851893424987793,Sorted
selection.c,1,0,2,0.0075130462646484375,Sorted
bubble.c,1,0,3,0.0069980621337890625,Sorted
insertion.c,1,0,3,0.006080150604248047,Sorted
selection.c,1,0,3,0.006208181381225586,Sorted
